player,year,attempts,made,expected_made,kick_plus,tier
Nick Sciba,2022,2,2,1.9,105.5,unranked
Ola Kimrin,2004,10,6,8.1,74.1,small_sample
Olindo Mare,2001,21,19,17.7,107.6,ranked
Olindo Mare,2002,31,24,24.3,98.7,ranked
Olindo Mare,2003,29,22,22.2,98.9,ranked
Olindo Mare,2004,16,12,12.3,97.5,small_sample
Olindo Mare,2005,30,25,25.1,99.8,ranked
Olindo Mare,2006,36,26,28.0,92.7,ranked
Olindo Mare,2007,17,10,12.9,77.7,small_sample
Olindo Mare,2008,27,24,23.0,104.5,ranked
Olindo Mare,2009,26,24,22.3,107.7,ranked
Olindo Mare,2010,30,25,25.9,96.5,ranked
Olindo Mare,2011,28,22,23.6,93.4,ranked
Olindo Mare,2012,8,6,7.2,83.7,unranked
Owen Pochman,2001,2,0,0.5,0.0,unranked
Owen Pochman,2003,15,8,11.6,69.2,small_sample
Patrick Murray,2014,24,20,19.3,103.4,ranked
Patrick Murray,2016,2,1,1.5,67.0,unranked
Patrick Murray,2017,23,19,19.3,98.6,ranked
Paul Edinger,2001,31,26,23.0,113.1,ranked
Paul Edinger,2002,28,22,19.3,113.7,ranked
Paul Edinger,2003,36,26,27.4,95.0,ranked
Paul Edinger,2004,24,15,18.9,79.5,ranked
Paul Edinger,2005,34,25,27.0,92.7,ranked
Phil Dawson,2001,25,22,20.7,106.3,ranked
Phil Dawson,2002,28,22,22.1,99.3,ranked
Phil Dawson,2003,21,18,17.4,103.7,ranked
Phil Dawson,2004,29,24,24.2,99.2,ranked
Phil Dawson,2005,29,27,25.4,106.2,ranked
Phil Dawson,2006,29,21,23.6,89.0,ranked
Phil Dawson,2007,30,26,25.6,101.5,ranked
Phil Dawson,2008,30,27,26.8,100.9,ranked
Phil Dawson,2009,19,17,15.9,107.1,small_sample
Phil Dawson,2010,28,23,23.5,97.9,ranked
Phil Dawson,2011,29,24,23.4,102.5,ranked
Phil Dawson,2012,31,29,25.9,112.1,ranked
Phil Dawson,2013,36,32,31.0,103.4,ranked
Phil Dawson,2014,31,25,24.4,102.4,ranked
Phil Dawson,2015,27,24,23.5,102.3,ranked
Phil Dawson,2016,21,18,17.7,101.8,ranked
Phil Dawson,2017,40,32,33.7,94.9,ranked
Phil Dawson,2018,8,5,6.8,73.7,unranked
Randy Bullock,2013,35,26,29.9,87.1,ranked
Randy Bullock,2014,35,30,29.7,101.1,ranked
Randy Bullock,2015,23,19,19.5,97.2,ranked
Randy Bullock,2016,9,8,8.1,98.9,unranked
Randy Bullock,2017,20,18,17.4,103.4,ranked
Randy Bullock,2018,23,19,19.3,98.6,ranked
Randy Bullock,2019,31,27,25.6,105.3,ranked
Randy Bullock,2020,26,21,22.0,95.7,ranked
Randy Bullock,2021,31,26,26.9,96.7,ranked
Randy Bullock,2022,20,17,17.3,98.1,ranked
Randy Bullock,2023,6,5,5.0,100.6,unranked
Rian Lindell,2001,32,20,22.9,87.3,ranked
Rian Lindell,2002,29,23,23.0,99.9,ranked
Rian Lindell,2003,24,17,19.9,85.5,ranked
Rian Lindell,2004,28,24,24.6,97.5,ranked
Rian Lindell,2005,32,26,26.8,97.0,ranked
Rian Lindell,2006,25,23,20.2,113.8,ranked
Rian Lindell,2007,27,24,22.6,106.1,ranked
Rian Lindell,2008,38,30,31.9,94.2,ranked
Rian Lindell,2009,33,28,27.3,102.5,ranked
Rian Lindell,2010,21,16,16.7,96.0,ranked
Rian Lindell,2011,15,13,12.8,101.4,small_sample
Rian Lindell,2012,24,21,20.6,102.2,ranked
Rian Lindell,2013,29,23,24.6,93.5,ranked
Richie Cunningham,2002,1,1,0.9,106.2,unranked
Ricky Schmitt,2009,3,2,2.6,75.8,unranked
Riley Patterson,2021,14,13,12.3,105.4,small_sample
Riley Patterson,2022,35,30,30.5,98.4,ranked
Riley Patterson,2023,18,16,16.3,98.0,small_sample
Riley Patterson,2024,7,4,5.8,69.4,unranked
Riley Patterson,2025,29,27,25.4,106.5,ranked
Rob Bironas,2005,29,23,23.0,99.9,ranked
Rob Bironas,2006,28,22,23.4,94.2,ranked
Rob Bironas,2007,34,31,29.7,104.3,ranked
Rob Bironas,2008,33,29,27.0,107.6,ranked
Rob Bironas,2009,32,27,24.5,110.4,ranked
Rob Bironas,2010,26,24,20.9,115.1,ranked
Rob Bironas,2011,32,29,25.1,115.7,ranked
Rob Bironas,2012,31,25,26.6,93.9,ranked
Rob Bironas,2013,29,25,25.7,97.3,ranked
Robbie Gould,2005,27,21,22.8,92.0,ranked
Robbie Gould,2006,36,32,29.7,107.7,ranked
Robbie Gould,2007,36,31,29.8,104.2,ranked
Robbie Gould,2008,29,26,24.8,104.9,ranked
Robbie Gould,2009,28,24,22.6,106.0,ranked
Robbie Gould,2010,30,25,25.0,100.2,ranked
Robbie Gould,2011,32,28,26.3,106.6,ranked
Robbie Gould,2012,25,21,21.4,97.9,ranked
Robbie Gould,2013,29,26,25.2,103.1,ranked
Robbie Gould,2014,12,9,10.3,87.1,small_sample
Robbie Gould,2015,39,33,32.9,100.2,ranked
Robbie Gould,2016,10,10,8.8,113.2,small_sample
Robbie Gould,2017,41,39,34.4,113.4,ranked
Robbie Gould,2018,34,33,30.0,109.9,ranked
Robbie Gould,2019,31,23,26.0,88.3,ranked
Robbie Gould,2020,23,19,19.2,99.0,ranked
