player,bucket,attempts,made,expected_made,kick_plus
Dominik Eberle,40-49,1,1,0.8,124.3
Brandon Aubrey,20-29,23,23,22.5,102.0
Brandon Aubrey,30-39,30,26,28.3,92.0
Brandon Aubrey,40-49,30,28,23.9,117.2
Brandon Aubrey,50-59,35,29,24.7,117.2
Brandon Aubrey,60+,9,6,3.8,157.7
Blake Grupe,20-29,25,23,24.5,93.8
Blake Grupe,30-39,29,26,27.2,95.6
Blake Grupe,40-49,24,18,19.2,93.9
Blake Grupe,50-59,25,18,17.6,102.3
Anders Carlson,20-29,9,9,8.8,102.1
Anders Carlson,30-39,16,16,15.1,105.8
Anders Carlson,40-49,15,9,11.7,76.6
Anders Carlson,50-59,7,6,4.9,121.5
Anders Carlson,60+,1,0,0.6,0.0
Chris Boswell,60+,3,1,1.4,73.1
Greg Joseph,<20,1,1,1.0,100.0
Jake Moody,20-29,23,21,22.5,93.4
Jake Moody,30-39,22,20,20.7,96.8
Jake Moody,40-49,23,15,18.3,82.1
Jake Moody,50-59,14,8,10.0,80.1
Chad Ryland,20-29,15,15,14.7,102.3
Chad Ryland,30-39,26,23,24.4,94.2
Chad Ryland,40-49,31,19,24.8,76.5
Chad Ryland,50-59,17,12,12.0,100.2
Lucas Havrisik,20-29,8,8,7.9,101.7
Lucas Havrisik,30-39,5,5,4.7,106.5
Lucas Havrisik,40-49,7,3,5.6,53.4
Lucas Havrisik,50-59,3,2,2.1,96.3
Jamie Gillan,40-49,1,1,0.8,125.6
Dare Ogunbowale,20-29,1,1,1.0,101.7
Cameron Dicker,<20,1,1,1.0,100.0
Joshua Karty,20-29,15,13,14.6,89.1
Joshua Karty,30-39,15,12,14.1,85.2
Joshua Karty,40-49,10,7,8.0,87.7
Joshua Karty,50-59,9,7,6.5,108.3
Blake Grupe,60+,2,1,0.8,123.1
Will Reichard,20-29,11,11,10.7,102.5
Will Reichard,30-39,16,15,15.0,100.2
Will Reichard,40-49,14,12,11.3,106.4
Will Reichard,50-59,23,18,16.4,110.0
Jake Bates,20-29,9,9,8.8,102.3
Jake Bates,30-39,18,18,16.9,106.7
Jake Bates,40-49,19,16,15.4,103.8
Jake Bates,50-59,15,10,10.7,93.7
Jake Bates,60+,2,0,0.8,0.0
Cam Little,20-29,13,13,12.7,102.6
Cam Little,30-39,15,15,14.0,107.0
Cam Little,40-49,19,16,15.3,104.3
Cam Little,50-59,14,11,9.9,110.6
Brayden Narveson,20-29,4,4,3.9,103.1
Brayden Narveson,30-39,4,3,3.8,79.6
Brayden Narveson,40-49,9,5,6.9,72.4
Brayden Narveson,50-59,1,0,0.7,0.0
John Parker Romo,20-29,5,5,4.9,102.6
John Parker Romo,30-39,11,10,10.3,97.4
John Parker Romo,40-49,7,5,5.5,90.5
John Parker Romo,50-59,3,2,2.1,94.1
Spencer Shrader,20-29,7,7,6.8,102.3
Spencer Shrader,30-39,6,6,5.6,107.3
Spencer Shrader,40-49,4,4,3.2,124.2
Jude McAtamney,30-39,2,2,1.9,106.8
Mitch Wishnowsky,20-29,1,1,1.0,103.1
Will Reichard,60+,1,1,0.5,183.3
Cam Little,60+,2,2,1.1,183.3
Tyler Loop,20-29,10,10,9.8,102.0
Tyler Loop,30-39,11,11,10.2,107.6
Tyler Loop,40-49,9,8,7.6,105.4
Tyler Loop,50-59,4,1,2.8,35.7
Chad Ryland,60+,1,0,0.5,0.0
Andy Borregales,<20,2,2,2.0,100.0
Andy Borregales,20-29,6,6,5.9,102.0
Andy Borregales,30-39,9,8,8.4,95.6
Andy Borregales,40-49,11,7,9.3,75.4
Andy Borregales,50-59,4,4,2.8,142.7
Eddy Pineiro,60+,1,0,0.5,0.0
Ryan Fitzgerald,20-29,6,6,5.9,102.0
Ryan Fitzgerald,30-39,9,8,8.4,95.6
Ryan Fitzgerald,40-49,9,8,7.6,105.4
Ryan Fitzgerald,50-59,5,2,3.5,57.1
Evan McPherson,60+,2,1,1.1,91.7
Andre Szmyt,20-29,4,4,3.9,102.0
Andre Szmyt,30-39,11,10,10.2,97.8
Andre Szmyt,40-49,6,5,5.1,98.8
Andre Szmyt,50-59,6,5,4.2,118.9
Daniel Carlson,60+,1,1,0.5,183.3
Charlie Smyth,20-29,1,1,1.0,102.0
Charlie Smyth,30-39,4,4,3.7,107.6
Charlie Smyth,40-49,5,3,4.2,71.1
Charlie Smyth,50-59,5,4,3.5,114.2
Charlie Smyth,60+,1,0,0.5,0.0
Spencer Shrader,50-59,2,1,1.4,71.3
Harrison Mevis,20-29,3,3,2.9,102.0
Harrison Mevis,30-39,3,3,2.8,107.6
Harrison Mevis,40-49,6,5,5.1,98.8
Harrison Mevis,50-59,1,1,0.7,142.7
Younghoe Koo,<20,1,1,1.0,100.0
Ben Sauls,20-29,3,3,2.9,102.0
Ben Sauls,30-39,4,4,3.7,107.6
Ben Sauls,40-49,1,1,0.8,118.6
Lucas Havrisik,60+,1,1,0.5,183.3
Jude McAtamney,20-29,1,1,1.0,102.0
