player,bucket,attempts,made,expected_made,kick_plus
Graham Gano,40-49,134,110,104.2,105.5
Ricky Schmitt,20-29,1,0,1.0,0.0
Ricky Schmitt,30-39,2,2,1.7,119.6
Shane Andrus,40-49,2,0,1.5,0.0
Dan Carpenter,<20,2,2,2.0,100.0
Dan Carpenter,60+,2,1,0.3,300.0
Nick Folk,60+,2,0,0.3,0.0
Graham Gano,<20,2,2,2.0,100.0
Graham Gano,30-39,116,98,105.6,92.8
Graham Gano,50-59,65,45,43.1,104.4
David Buehler,20-29,8,8,7.6,105.1
David Buehler,30-39,7,4,6.2,64.4
David Buehler,40-49,11,8,8.1,99.3
David Buehler,50-59,6,4,3.4,117.2
Robbie Gould,<20,2,2,2.0,100.0
Phil Dawson,60+,3,0,0.5,0.0
Josh Scobee,<20,4,4,4.0,100.0
Rian Lindell,60+,1,0,0.2,0.0
Shaun Suisham,<20,3,3,3.0,100.0
Clint Stitser,20-29,5,4,4.8,84.0
Clint Stitser,30-39,2,2,1.8,112.7
Clint Stitser,40-49,1,1,0.7,136.5
Shane Andrus,20-29,1,1,1.0,105.1
Shane Andrus,30-39,2,1,1.8,56.4
Aaron Pettrey,<20,1,1,1.0,100.0
Aaron Pettrey,20-29,2,1,1.9,52.5
Aaron Pettrey,40-49,1,0,0.7,0.0
Dan Bailey,<20,5,5,5.0,100.0
Dan Bailey,20-29,66,63,64.2,98.1
Dan Bailey,30-39,87,83,78.9,105.2
Dan Bailey,40-49,82,65,63.7,102.1
Dan Bailey,50-59,50,33,32.4,101.9
Stephen Gostkowski,<20,3,3,3.0,100.0
Steven Hauschka,<20,3,3,3.0,100.0
Steven Hauschka,60+,3,0,0.9,0.0
Ryan Succop,<20,3,3,3.0,100.0
Alex Henery,20-29,27,26,26.1,99.6
Alex Henery,30-39,28,24,24.8,96.9
Alex Henery,40-49,28,22,22.4,98.1
Alex Henery,50-59,6,3,3.9,77.5
Alex Henery,60+,2,0,0.5,0.0
Lawrence Tynes,60+,1,0,0.1,0.0
Mike Scifres,40-49,1,1,0.7,135.1
Brandon Coutu,40-49,1,0,0.7,0.0
Blair Walsh,20-29,38,37,37.0,100.1
Blair Walsh,30-39,62,53,56.0,94.6
Blair Walsh,40-49,49,37,38.8,95.5
Blair Walsh,50-59,34,24,21.9,109.5
Justin Tucker,20-29,111,111,108.4,102.4
Justin Tucker,30-39,125,122,114.5,106.6
Justin Tucker,40-49,136,120,106.5,112.7
Justin Tucker,50-59,87,62,58.0,106.8
Matt Prater,<20,5,5,5.0,100.0
Greg Zuerlein,<20,5,5,5.0,100.0
Greg Zuerlein,20-29,76,75,74.3,101.0
Greg Zuerlein,30-39,132,121,121.1,99.9
Greg Zuerlein,40-49,111,88,87.1,101.0
Greg Zuerlein,50-59,78,46,51.1,90.0
Greg Zuerlein,60+,9,3,2.5,119.4
