player,<20_kick_plus,<20_att,<20_sample_tag,20-29_kick_plus,20-29_att,20-29_sample_tag,30-39_kick_plus,30-39_att,30-39_sample_tag,40-49_kick_plus,40-49_att,40-49_sample_tag,50-59_kick_plus,50-59_att,50-59_sample_tag,60+_kick_plus,60+_att,60+_sample_tag
Giorgio Tavecchio,,,,102.0,6,small,83.3,7,small,91.0,7,small,121.1,6,small,,,
Graham Gano,,2,insufficient,99.5,89,normal,92.8,116,normal,105.5,134,normal,104.4,65,normal,,2,insufficient
Greg Joseph,,1,insufficient,101.9,34,moderate,104.0,38,moderate,91.0,38,moderate,80.1,29,moderate,,1,insufficient
Greg Zuerlein,100.0,5,small,101.0,76,normal,99.9,132,normal,101.0,111,normal,90.0,78,normal,119.4,9,small
Harrison Butker,,4,insufficient,100.7,68,normal,102.8,90,normal,111.1,69,normal,97.5,50,normal,,3,insufficient
Harrison Mevis,,,,,3,insufficient,,3,insufficient,98.8,6,small,,1,insufficient,,,
Hayden Epstein,,,,,3,insufficient,,3,insufficient,,2,insufficient,,1,insufficient,,,
J.R. Jenkins,,,,,,,,,,,,,,1,insufficient,,,
Jake Arians,,,,105.5,6,small,,4,insufficient,60.8,11,moderate,,,,,,
Jake Bates,,,,102.3,9,small,106.7,18,moderate,103.8,19,moderate,93.7,15,moderate,,2,insufficient
Jake Elliott,,,,98.4,56,normal,98.1,76,normal,106.8,74,normal,86.6,49,normal,,3,insufficient
Jake Moody,,,,93.4,23,moderate,96.8,22,moderate,82.1,23,moderate,80.1,14,moderate,,,
James Tuthill,,,,,3,insufficient,68.4,7,small,62.2,5,small,,1,insufficient,,,
Jamie Gillan,,,,,,,,,,,1,insufficient,,,,,1,insufficient
Jason Elam,,1,insufficient,102.0,87,normal,103.7,68,normal,105.6,95,normal,107.8,24,moderate,,,
Jason Hanson,102.0,5,small,103.0,73,normal,107.5,92,normal,104.7,106,normal,116.9,53,normal,,,
Jason Myers,,,,99.0,62,normal,99.6,107,normal,107.1,103,normal,107.0,70,normal,70.0,5,small
Jason Sanders,,1,insufficient,100.1,47,normal,101.5,55,normal,100.9,70,normal,100.6,48,normal,,,
Jay Feely,,2,insufficient,98.4,108,normal,100.5,138,normal,102.7,122,normal,98.8,30,moderate,,2,insufficient
Jay Taylor,,,,,,,,3,insufficient,,1,insufficient,,1,insufficient,,,
Jeff Chandler,,1,insufficient,104.3,11,moderate,,4,insufficient,84.6,9,small,,2,insufficient,,,
Jeff Feagles,,,,,1,insufficient,,,,,,,,,,,,
Jeff Reed,100.0,6,small,96.1,77,normal,106.5,89,normal,93.8,70,normal,83.0,15,moderate,,,
Jeff Wilkins,,1,insufficient,101.6,65,normal,105.3,55,normal,96.6,76,normal,159.3,14,moderate,,,
Joe Nedney,,3,insufficient,102.7,55,normal,105.4,64,normal,104.7,65,normal,110.1,22,moderate,,,
Joey Slye,,1,insufficient,94.1,49,normal,102.9,49,normal,98.1,61,normal,104.2,47,normal,71.9,8,small
John Carney,,4,insufficient,101.4,73,normal,100.7,97,normal,104.5,71,normal,102.5,9,small,,,
