rank,player,year,attempts,kick_plus
166,Dan Carpenter,2014,38,107.2
167,Ryan Succop,2009,29,107.2
168,Cameron Dicker,2022,22,107.1
169,Matt Stover,2005,34,107.1
170,Cairo Santos,2020,32,107.1
171,Harrison Butker,2017,42,107.1
172,Jason Sanders,2024,41,107.1
173,Steven Hauschka,2013,35,107.0
174,Josh Lambo,2018,21,107.0
175,Zane Gonzalez,2025,22,107.0
176,Stephen Gostkowski,2017,40,107.0
177,Jason Hanson,2012,36,107.0
178,Steven Hauschka,2017,33,106.9
179,Cairo Santos,2023,38,106.9
180,Chase McLaughlin,2023,31,106.9
181,Nick Novak,2012,20,106.7
182,Robbie Gould,2011,32,106.6
183,Harrison Butker,2023,35,106.6
184,Jason Elam,2004,34,106.6
185,Sebastian Janikowski,2001,28,106.6
186,Cody Parkey,2017,23,106.6
187,Riley Patterson,2025,29,106.5
188,Shaun Suisham,2012,31,106.3
189,Connor Barth,2012,33,106.3
190,Phil Dawson,2001,25,106.3
191,Matt Bryant,2010,31,106.3
192,Dan Bailey,2014,29,106.2
193,Matt Stover,2003,38,106.2
194,Justin Tucker,2018,39,106.2
195,Phil Dawson,2005,29,106.2
196,Josh Brown,2008,36,106.2
197,Ryan Longwell,2004,28,106.2
198,Josh Brown,2009,24,106.1
199,Rian Lindell,2007,27,106.1
200,John Kasay,2003,38,106.0
201,Robbie Gould,2009,28,106.0
202,Joey Slye,2021,25,106.0
203,Joey Slye,2019,32,106.0
204,Jake Elliott,2021,33,105.8
205,Jason Hanson,2002,28,105.8
206,David Akers,2009,37,105.7
207,Josh Scobee,2012,28,105.7
208,Todd Peterson,2005,25,105.7
209,Cam Little,2025,34,105.6
210,Cameron Dicker,2025,41,105.6
211,Matt Prater,2022,25,105.5
212,Nate Kaeding,2007,27,105.5
213,Greg Zuerlein,2013,28,105.5
214,Jay Feely,2012,28,105.4
215,Matt Prater,2016,36,105.4
216,Matt Prater,2019,31,105.4
217,Dan Carpenter,2013,36,105.4
218,Brandon Aubrey,2025,42,105.3
219,Randy Bullock,2019,31,105.3
220,Nick Folk,2013,36,105.2
221,Kris Brown,2002,24,105.1
222,Neil Rackers,2008,28,105.1
223,Matt Bryant,2017,39,105.1
224,Harrison Butker,2020,27,105.1
225,Todd Peterson,2004,22,105.1
226,Jason Elam,2007,31,105.0
227,Blake Grupe,2024,31,105.0
228,Daniel Carlson,2020,35,105.0
229,Robbie Gould,2008,29,104.9
230,Jason Hanson,2001,30,104.9
231,Graham Gano,2021,33,104.9
232,Jason Myers,2016,34,104.8
233,Austin Seibert,2019,29,104.8
234,Steven Hauschka,2012,27,104.8
235,David Akers,2003,29,104.8
236,Matt Prater,2017,35,104.7
237,Shaun Suisham,2014,32,104.6
238,Evan McPherson,2021,33,104.6
239,Chris Boswell,2015,32,104.6
240,Morten Andersen,2006,23,104.6
241,Alex Henery,2011,27,104.5
242,Olindo Mare,2008,27,104.5
243,Billy Cundiff,2010,29,104.5
244,Shayne Graham,2005,32,104.5
245,Jason Sanders,2018,20,104.5
246,Jason Myers,2022,37,104.4
247,Adam Vinatieri,2001,30,104.4
248,Dustin Hopkins,2021,34,104.4
249,Jeff Reed,2009,31,104.3
250,Younghoe Koo,2019,26,104.3
251,Rob Bironas,2007,34,104.3
252,Justin Tucker,2014,34,104.3
253,Younghoe Koo,2022,37,104.2
254,Robbie Gould,2007,36,104.2
255,Ka'imi Fairbairn,2018,42,104.1
256,John Hall,2001,31,104.1
257,Dustin Hopkins,2015,28,104.1
258,Sebastian Janikowski,2007,32,104.0
259,Chandler Catanzaro,2014,33,104.0
260,Dan Bailey,2011,37,104.0
261,Shayne Graham,2007,34,103.9
262,Shaun Suisham,2013,32,103.8
263,Shayne Graham,2006,30,103.8
264,Phil Dawson,2003,21,103.7
265,Joe Nedney,2008,33,103.7
266,John Carney,2004,27,103.6
267,Austin Seibert,2024,30,103.6
268,Stephen Gostkowski,2009,31,103.6
269,Jake Elliott,2017,31,103.6
270,Adam Vinatieri,2011,27,103.5
271,Graham Gano,2013,27,103.5
272,Patrick Murray,2014,24,103.4
273,Cairo Santos,2024,25,103.4
274,Robbie Gould,2021,23,103.4
275,Randy Bullock,2017,20,103.4
276,Matt Stover,2001,35,103.4
277,Phil Dawson,2013,36,103.4
278,Brett Conway,2001,33,103.3
279,Shayne Graham,2008,24,103.3
280,Josh Brown,2007,34,103.2
281,Jason Hanson,2007,35,103.2
282,Jay Feely,2002,40,103.2
283,Mason Crosby,2015,28,103.2
284,Robbie Gould,2013,29,103.1
285,Jay Feely,2009,36,103.1
286,Neil Rackers,2004,29,103.1
287,Nick Folk,2007,31,103.1
288,Adam Vinatieri,2013,40,103.1
289,Nick Novak,2013,37,103.1
290,Brandon McManus,2016,34,103.0
291,Ryan Longwell,2002,34,103.0
292,Jay Feely,2005,42,102.9
293,Matt Prater,2009,35,102.9
294,Matt Prater,2023,33,102.9
295,Evan McPherson,2023,31,102.9
296,Jeff Reed,2004,33,102.9
297,Morten Andersen,2003,20,102.8
298,Kris Brown,2008,33,102.8
299,Jeff Wilkins,2001,29,102.8
300,Greg Joseph,2021,38,102.7
301,Dan Carpenter,2011,34,102.7
302,Joe Nedney,2009,21,102.7
303,Harrison Butker,2018,27,102.7
304,Nate Kaeding,2010,28,102.7
305,Jason Hanson,2004,28,102.6
306,Justin Tucker,2022,43,102.6
307,Rian Lindell,2009,33,102.5
308,Phil Dawson,2011,29,102.5
309,Andre Szmyt,2025,27,102.5
310,Jay Feely,2006,27,102.4
311,Phil Dawson,2014,31,102.4
312,Dan Carpenter,2008,25,102.3
